SP	GD	NUM_BP	DROPPED_PAIRS	SEQS	IUCN	status	Split	New Name	N_of_splits	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	Notes	Included in Phylogeny
Cacicus cela	0.016211499	218	0	6	LC	Non-threatened	Cacicus vitellinus	NA	1	Cacicus vitellinus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Glaucidium brasilianum	0.016217377	12432	600	49	LC	Non-threatened	Glaucidium tucumanum	NA	1	Glaucidium tucumanum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Calandrella cinerea	0.016692604	3625	630	36	LC	Non-threatened	C. eremica and C. blanfordi	NA	2	Calandrella eremica	Calandrella blanfordi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Zoothera dauma	0.017317221	1718	0	15	LC	Non-threatened	Zoothera aurea, Z. major	NA	2	Zoothera aurea	Zoothera major	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, Yes
Paradoxornis brunneus	0.017429739	418	0	7	LC	Non-threatened	Sinosuthora ricketti	NA	1	Sinosuthora ricketti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Pernis celebensis	0.017670683	264	0	10	LC	Non-threatened	Pernis steerei	NA	1	Pernis steerei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Certhidea olivacea	0.017903149	1027	0	12	VU	Threatened	Certhidea fusca	NA	1	Certhidea fusca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Apteryx australis	0.018350191	233185	1452	175	VU	Threatened	Apteryx australis, A. mantelli and A. rowi 	NA	3	Apteryx australis	Apteryx mantelli	Apteryx rowi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, Yes, No
Cyornis rubeculoides	0.019403676	846	0	10	LC	Non-threatened	Cyornis glaucicomans	NA	1	Cyornis glaucicomans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Oceanodroma castro	0.01966755	559	0	8	LC	Non-threatened	Hydrobates monteiroi, Hydrobates matsudairae	NA	2	Hydrobates monteiroi	Hydrobates matsudairae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Acrocephalus mendanae	0.020588812	5872	0	26	LC	Non-threatened	Acrocephalus percernis	NA	1	Acrocephalus percernis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Emberiza tahapisi	0.020620389	350	0	7	LC	Non-threatened	Emberiza goslingi	NA	1	Emberiza goslingi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Garrulus glandarius	0.020871725	104664	2628	98	LC	Non-threatened	Garrulus bispecularis, G. leucotis	NA	2	Garrulus bispecularis	Garrulus leucotis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Amazona farinosa	0.021959976	4515	46	24	NT	Non-threatened	Amazona guatemalae	NA	1	Amazona guatemalae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Pica pica	0.022051067	427616	748	189	LC	Non-threatened	Pica mauritanica, Pica asirensis, Pica hudsonia	NA	3	Pica mauritanica	Pica asirensis	Pica hudsonia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No, Yes
Carpodacus synoicus	0.022121635	289	8	8	LC	Non-threatened	Carpodacus stoliczkae	NA	1	Carpodacus stoliczkae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Acrocephalus stentoreus	0.02213165	1234	0	12	LC	Non-threatened	A. australis	NA	1	Acrocephalus australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
Amazona ochrocephala	0.02236928	743	20	11	LC	Non-threatened	Amazona oratrix, Amazona auropalliata	NA	2	Amazona oratrix	Amazona auropalliata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, Yes
Prioniturus discurus	0.02287914	335	0	8	LC	Non-threatened	Prioniturus mindorensis	NA	1	Prioniturus mindorensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Phylloscopus davisoni	0.022923264	2362	0	18	LC	Non-threatened	name update: Phylloscopus intensior	Phylloscopus intensior	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Anthus similis	0.023059714	1392	0	12	LC	Non-threatened	Anthus similis and A. nyassae 	NA	2	Anthus similis	Anthus nyassae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes, No
Zoothera mollissima	0.023406044	3478	34	19	LC	Non-threatened	Zoothera griseiceps, Zoothera salimalii	NA	2	Zoothera griseiceps	Zoothera salimalii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No, No
Chloropsis hardwickii	0.023406482	981	26	14	LC	Non-threatened	Chloropsis lazulina	NA	1	Chloropsis lazulina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
Calandrella brachydactyla	0.023450197	6845	1012	45	LC	Non-threatened	Calandrella dukhunensis	NA	1	Calandrella dukhunensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
